,Unnamed: 0,Id,PublishDate,Domaine,OfferTitle,ContractType,IsFulltime,Telework,DisplayedSalary,Description,Profile,CompanyName,CompanyLogo,Localisation,UrlOffre
13,13,58848366,2025-01-28 00:00:00,informatique,Data Engineer H/F,CDI,True,Télétravail occasionnel,43 000 - 53 000 € / an,"Et si vous deveniez consultant chez nous ?

Mais d'abord, c'est quoi un consultant ? Evidemment, c'est un collaborateur qui accompagnera nos clients dans la réalisation de leurs projets innovants. Mais être consultant chez OTTEO, c'est aussi être un ambassadeur, qui participera à l'évolution et à la croissance de la société !

Votre 1er projet

Vous rejoindrez notre client dans le retail, et travaillerez sur un produit dédié à la performance !

Ce produit permet de saisir, stocker, calculer et transmettre les données de performance et d'objectifs à tous les acteurs métiers qui pilotent l'activité.

Votre mission principale sera de répondre aux besoins métiers en mettant à disposition des données de qualité, essentielles pour un pilotage efficace de l'activité.

Vous vous y voyez déjà, pas vrai ? Ça tombe bien, ce n'est pas fini !

Vous intégrerez une équipe agile de 10 personnes (un proxy PO, un Scrum Master et des Data Engineers) qui pratique l'agilité en Scrum depuis un an.

Vos missions :
- Participer à la conception des environnements de qualification, de production, d'architecture applicative et des processus de mise en production.
- Développer l'intégration des données, leur exposition et leur transmission en garantissant l'implémentation du produit et des solutions apportées.
- Construire les environnements de qualification et de production selon les pratiques de l'entreprise.
- Implémenter la surveillance du produit et réaliser les tests unitaires.
- Présentation et validation des livrables par le métier.
- Mettre en production et assurer le bon fonctionnement de la production en gérant les incidents/problèmes.

Collaborer, c'est aussi :
- Documenter les solutions et réaliser une veille technologique régulière.
- Accompagner les équipes et favoriser l'échange de connaissances.

ENVIRONNEMENT TECHNIQUE :
- Intégration et flux de données : Talend, Shell
- Base de données : BigQuery, PostgreSQL, Teradata
- DataViz : DataStudio
- Autres : Firestore, Cloud Functions GCP, Git","Vous êtes arrivé jusqu'ici ? C'est que l'offre doit vous plaire ! Alors si vous vous sentez l'âme d'un ambassadeur OTTEO, rien de plus simple ! Il vous suffit :
- D'être diplômé(e) d'une école d'ingénieurs en informatique ou d'avoir une expérience similaire (5 années) dans les environnements data et Cloud.
- D'avoir des compétences en intégration de données et architecture applicative, avec une capacité d'adaptation aux nouvelles technologies.
- D'être rigoureux(se), autonome et force de proposition, prêt(e) à collaborer avec des équipes agiles et passionnées.",Otteo,https://f.hellowork.com/img/entreprises/27719.png,Lille - 59,/fr-fr/emplois/58848366.html
16,16,61223268,2025-01-29 00:00:00,informatique,Data Engineer H/F,CDI,True,NC,NC,"Intégré(e) au sein du service de Nicolas, vous rejoignez l'équipe Data en charge d'alimenter l'ensemble de nos gammes de produits, permettant de fournir à nos clients privés, aux collectivités françaises, et aux citoyens des données de qualité leur permettant de prendre les bonnes décisions.

En lien quotidien avec vos collègues des équipes techniques et PO, vos missions consistent à :
- Recueillir les besoins métiers des différentes unités demandeuses et utilisatrices de solutions de collecte et stockage de la donnée.
- Intégration, transformation et maintenance des données (Python, Java, R, shell, GDAL, ETL, BDD Postgres/postgis, MySQL)
* Mise en place, industrialisation et maintenance des processus inhérents à l'intégration de données : Orchestration, monitoring, API, tests unitaires et d'intégration, tests qualité automatisés, métadonnées, packaging

* Installation & maintenance des machines, des outils, des bases de données (OS Linux Debian / Ubuntu, Docker)
* Manipulation de données spatiales, vecteur et raster

- Industrialiser et automatiser le nettoyage de la donnée selon les spécifications retenues.
- Gérer, maintenir et documenter de multiples bases de données (via l'importation de données externes en open data ou de données internes par exemple).
- Gérer le cycle de vie de la donnée conformément aux directives inscrites dans le RGPD.
- Assurer le suivi de production et la maintenance.

Passionné(e) de développement et de data, vous pourrez vous nourrir de l'expertise de vos collègues et leur apporter votre regard neuf, qu'ils ont hâte de découvrir.","Issu(e) d'une formation informatique type école d'ingénieurs, vous disposez d'une première expérience réussie en tant que Data Engineer.
Vos compétences :
* Langages : Python, R, shell
* Outils et BDD : GDAL, ETL, Postgre/Postgis, NoSQL
* Systèmes : OS Linux Debian / Ubuntu, Docker, Kubernetes

La connaissance des outils Gitlab et Jira est un plus, tout comme la connaissance du langage Java.
Intégrer une équipe de développement Ciril GROUP c'est intégrer un ensemble de communautés d'experts curieux et passionnés : les communautés du « bon code », « DEVOPS », « architecture technique »... permettent un partage constant inter-équipes !

Rejoignez-nous pour un poste temps plein CDI sans déplacements à Aix en Provence !
Rémunération selon profil.

+ de raisons de nous rejoindre :
Participation aux résultats, Intéressement, Prime Vacances et Titres Restaurant
12 RTT par an en plus des 5 semaines de congés
Charte de télétravail - 1 jour par semaine
20€ nets /mois pour les cyclistes et covoitureurs (Forfait Mobilités Durables)
CSE, Mutuelle et Prévoyance pour tous
Démarche RSE engagée et durable : 9 collectifs participatifs mis en place sur base de volontariat
Convivialité : Foot, pétanque, soirées gaming... entre collègues

Le processus de recrutement :
1. Un premier contact RH pour faire le point sur votre profil
2. Le contact avec un data engineer pour parler de l'environnement technique
3. L'entretien technique (avec préparation d'un exercice en amont)
4. L'entretien final
5. La proposition d'embauche

Et une intégration qui démarre dès votre acceptation ! L'équipe Recrutement s'engage à vous informer le plus rapidement possible du statut de votre candidature à chaque étape du processus",CIRIL GROUP,https://f.hellowork.com/img/entreprises/144450.png,Aix-en-Provence - 13,/fr-fr/emplois/61223268.html
17,17,61046147,2025-01-24 00:00:00,informatique,Data Engineer H/F,CDI,True,NC,NC,"Votre rôle :

Vous rejoindrez notre équipe Business Intelligence (BI) sous la direction du Responsable Business Intelligence.

Vous êtes capable de concevoir, construire et maintenir des systèmes de traitement de données robustes et évolutifs. Une des missions principales sera la construction, la mise en place et le suivi de la gouvernance des données pour l'entreprise.

Vous travaillerez en étroite collaboration avec les équipes de développement, d'analyse et de gestion des données pour garantir la qualité et l'intégrité des données.

Vos missions :
- Gouvernance des données :

   - Construire en collaboration avec les métiers les politiques et les procédures de gouvernance des données pour garantir la qualité, la sécurité et la conformité des données.
   - Surveiller et auditer les pratiques de gestion des données pour s'assurer qu'elles respectent les normes, règles internes et les réglementations en vigueur.
   - Collaborer avec les parties prenantes pour définir et mettre en oeuvre des stratégies de gouvernance des données.
- Intégration et transformation des données :

   - En collaboration avec la DSI, intégrer des données provenant de différentes sources et les transformer en formats utilisables pour l'analyse.
   - Mettre en place des processus d'ETL (Extract, Transform, Load) pour automatiser les flux de données.
- Collaboration avec les équipes internes :

   - Travailler en étroite collaboration avec les équipes de développement, d'analyse et de gestion des données pour comprendre les besoins en données et fournir des solutions adaptées.
   - Participer à la définition des exigences techniques et fonctionnelles des projets de données.","Vous avez un diplôme en informatique, en ingénierie des données ou dans un domaine connexe.

Vous possédez une expérience de 3 à 5 ans en tant que Data Engineer ou dans un rôle similaire.

Vous avez des connaissances approfondies des bases de données relationnelles (SQL) et non relationnelles (NoSQL).

Une certification en ingénierie des données ou en technologies de traitement de données est un plus.

Vous attestez d'un niveau B2 en anglais (écrit et oral).

Vous aimez travailler en équipe et savez communiquer efficacement avec les différentes parties prenantes. Vous avez une compétence et/ou appétence au management.

« Découvrez les avantages Würth France »
- Rémunération motivante
- Frais de repas
- Mutuelle gratuite pour les salariés
- Participation aux bénéfices
- Avantages CSE
- Plan d'intégration, de formation et d'évolution
- Politique en faveur de la mobilité interne
- Plan Epargne Retraite Obligatoire
- Qualité de vie au travail et RSE
- Programme de développement des collaborateurs (Würth France Académie-Würth France Formation)
- Stabilité financière du groupe

Ce poste, en CDI, est à pourvoir immédiatement.",Würth France,https://f.hellowork.com/img/entreprises/1017.gif,Erstein - 67,/fr-fr/emplois/61046147.html
19,19,61211525,2025-01-29 00:00:00,informatique,Data Engineer H/F,CDI,True,NC,40 000 - 45 000 € / an,"Le GROUPE RAGNI réunit des experts de l'éclairage public et de technologies connectées.

Fondée en 1927, RAGNI, maison-mère du GROUPE RAGNI, est une entreprise familiale aujourd'hui dirigée par la 4ème génération.

En 2015, la société azuréenne s'associe à NOVÉA ÉNERGIES, expert de l'éclairage public autonome depuis 2007. En 2022 vient s'ajouter une troisième entité, SEV, qui fournit des solutions dédiées aux territoires souhaitant connecter leurs infrastructures. En décembre 2023, le groupe fait l'acquisition des marques HESS et VULKAN, deux références allemandes de l'éclairage public design et fonctionnel.

En juin 2024, le GROUPE RAGNI intègre LEC, une société emblématique lyonnaise spécialisée dans l'éclairage urbain (architectural, bâtiments publics, cheminements, tunnel, balisage, main courante, etc.) par la LED depuis 1977.

Enfin, c'est ECO INNOV qui rejoint le Groupe en novembre 2024, des experts en bornes d'éclairage économes en énergie.

Présent dans 60 pays, près de 30 distributeurs proposent nos marques à travers le monde. Le GROUPE RAGNI possède également des filiales étrangères dédiées à leur marché : Ragni Lighting aux États-Unis, implantée à Denver, Colorado, deux filiales en Afrique, respectivement établies en Côte d'Ivoire et au Sénégal ainsi qu'une filiale GROUPE RAGNI LATAM, basée au Panama.

En France, le Groupe s'appuie sur un réseau de 15 agences commerciales sur tout le territoire.

Sa mission ? Faciliter l'accès à la lumière pour le confort et la sécurité des êtres humains tout en veillant au respect de la biodiversité.

Ces 6 marques se retrouvent autour de la même vision du métier : aider les territoires dans leur transition énergétique et écologique pour un avenir lumineux et durable.

Grâce à sa maîtrise globale de la chaîne de valeur, le Groupe met son expertise au service des collectivités en quête d'optimisation grâce à une offre innovante de produits et de services dédiés principalement à l'éclairage public intelligent et connecté, mais également de solutions environnementales consacrées à la gestion de l'eau, des bâtiments publics, de la mobilité et de l'énergie.

Fort de son expérience et de ses valeurs de passion, de créativité et de proximité, le GROUPE RAGNI se démarque par son agilité, sa culture d'accompagnement, la qualité de ses produits et son engagement pour la préservation du vivant.

Nous vous proposons une opportunité unique de contribuer à la création d'un écosystème data moderne, scalable et innovant. En rejoignant notre équipe, vous participerez à la mise en place complète d'un système data centralisé, capable de servir plusieurs entités et services. Vous serez au coeur des projets structurants qui transformeront notre manière d'exploiter les données et ouvriront la voie à des cas d'usage variés et passionnants, allant de l'optimisation opérationnelle à la personnalisation des produits.

Vous évoluerez dans un environnement technique moderne et dynamique, basé sur Snowflake, Talend et Power BI.

Conception et maintenance des pipelines de données :
- Développer et optimiser les flux de données (ETL/ELT) avec Talend et Snowflake.
- Implémenter des solutions robustes pour la collecte, le stockage et le traitement des données.
- Assurer la qualité, la fiabilité et la performance des pipelines de données.

Gestion des infrastructures et des bases de données :
- Concevoir et gérer les architectures data dans Snowflake pour garantir des performances optimales.
- Mettre en place des mécanismes de surveillance, d'alertes et de récupération des données.
- Participer à l'administration et à l'évolution des plateformes cloud.

Collaboration et documentation :
- Collaborer avec les équipes Data Analyst, Data Scientist et métiers pour comprendre leurs besoins en données.
- Documenter les processus, les flux et les architectures développés.
- Contribuer à l'amélioration continue des pratiques de gestion des données.

Titulaire d'un Bac +5 en statistiques, informatique, mathématiques appliquées, gestion de la donnée ou domaine connexe et disposant d'une expérience de 2 à 5 ans sur un poste similaire.

Compétences techniques :
- Expertise en développement ETL/ELT avec Talend. 
- Solides compétences en gestion de bases de données, notamment Snowflake. 
- Bonne maîtrise de SQL et compréhension des concepts d'optimisation des requêtes. 
- Connaissance des environnements cloud (AWS, Azure ou GCP). 
- Expérience avec des outils de gestion des versions (Git). 
- Connaissance des outils de visualisation de données (PowerBI).

Compétences méthodologiques :
- Connaissances solides en statistiques et en méthodologies d'analyse de données.
- Compréhension des concepts de modélisation prédictive et des algorithmes de machine learning (compétence appréciée).

Aptitudes professionnelles :
- Esprit d'analyse et capacité à résoudre des problématiques techniques complexes. 
- Rigueur et organisation dans la gestion des projets. 
- Bonnes aptitudes à travailler en équipe et à communiquer avec des profils non techniques.",,L'Industrie recrute,https://f.hellowork.com/img/entreprises/84916.png,La Gaude - 06,/fr-fr/emplois/61211525.html
20,20,57647350,2025-01-30 00:00:00,informatique,Data Engineer H/F,CDI,True,NC,NC,"En tant que Data engineer (H/F), vous intégrerez une entreprise dynamique évoluant dans un contexte international et un environnement de travail agile. Vos missions seront :
- Développer des logiciels au sein d'une large gamme de solutions techniques et d'environnements. En particulier : Databrick Cloud/Azure ; Étincelle, Scala, écosystème Hadoop.
- Convertir les spécifications fonctionnelles en nouvelles solutions logicielles grâce à l'analyse des spécifications.
- Concevoir des solutions techniques et réaliser des études de faisabilité.
- Réaliser des tests unitaires, d'emballage et de performance et assurer un haut niveau de qualité.
- Participer à la phase de validation du cycle du produit, peaufiner si nécessaire pour finaliser le produit.","- Vous avez des connaissances techniques en Big Data, Spark, Hadoop, Scala.
- Vous avez un diplôme d'ingénieur (Bac +5)
- Vous possédez un niveau d'anglais confirmé, vous permettant d'évoluer au sein d'une équipe multiculturelle
- Vous êtes doté(e) d'une grande capacité d'adaptation
- Vous savez faire preuve d'autonomie
- Vous rêvez de progresser entouré(e) de personnes de tous niveaux d'expertise",Meritis,https://f.hellowork.com/img/entreprises/71706.png,Biot - 06,/fr-fr/emplois/57647350.html
21,21,57647163,2025-01-30 00:00:00,informatique,Data Engineer H/F,CDI,True,NC,NC,"Dans le cadre de la modernisation du backend, le socle du processing de données est ré-écrit sur une technologie BigData, ce qui permet d'élargir l'offre de services proposée aux utilisateurs.

Dans ce cadre, la mission consiste à :
- Contribuer à l'analyse des besoins des différents métiers : analyse de données, BI, Big Data.
- Contribuer à la définition des solutions dans l'environnement applicatif (Cloud Platform / Spark Data processing).
- Récupérer les données sur les assets à partir d'une base de données RedShift.
- Traiter les données afin de garantir une qualité de données optimale.
- Exploiter les données et faire des restitutions dans les datasets / datamarts.
- Appliquer les mises en forme et agrégations sur les données.
- Etablir des comparaisons entre les données et des restitutions pertinentes selon les besoins métiers.","- Vous êtes titulaire d'un diplôme d'ingénieur ou universitaire Bac +5,
- Vous avez à partir de 3 ans d'expérience,
- Vous aimez travailler dans un environnement agile et novateur et êtes passionné.e de Big Data,
- Avoir travaillé au moins sur Azure, AWS ou GCP
- Vous maîtrisez un langage de programmation : Python ou Java
- Vous maîtrisez les outils Big Data suivants : Spark, Scala, Hadoop
- Do you speak english ?",Meritis,https://f.hellowork.com/img/entreprises/71706.png,Paris 8e - 75,/fr-fr/emplois/57647163.html
22,22,59993583,2025-01-30 00:00:00,informatique,Data Engineer H/F,CDI,True,NC,NC,"Travailler chez Devoteam, c'est :
- Être aux côtés de partenaires comme Google, Microsoft, AWS, Salesforce ou ServiceNow dont nous implémentons les solutions chez nos clients ;
- Évoluer dans un groupe international qui vous accompagne dans le développement de votre carrière avec des parcours de formation et de certification adaptés ;
- Rejoindre une équipe spécialisée avec un manager de proximité qui saura vous guider dans vos choix et favoriser les échanges avec vos pairs, que ce soit lors d'événements techniques ou conviviaux ;
- Grandir dans une entreprise qui challenge ses équipes en étant agile et ambitieuse, s'adaptant pour permettre les succès individuels et collectifs.
- Animer des ateliers afin d'analyser et cadrer les besoins de nos clients grands comptes sur la mise en place de projets data Cloud,
- Préconiser les solutions de données cibles, et rédiger les dossiers d'architecture et spécifications techniques,
- Définir les méthodologies de déploiement et assurer la migration des données vers les nouveaux environnements,
- Concevoir et mettre en place des systèmes de données résilients et sécurisés (data warehouse, data lake, systèmes temps-réels),
- Construire et déployer les pipelines de données (ETL),
- Analyser les données sources afin d'identifier et évaluer des cas d'usage métiers,
- Mettre en oeuvre des outils de Business Intelligence et visualisation (Looker, Tableau, QlikView, DataStudio, etc.),
- Sélectionner, entraîner, évaluer et déployer des modèles prédictifs en s'appuyant sur les outils standards du domaine (TensorFlow, Keras, Scikit Learn),
- Assurer une veille technologique continue sur les différentes solutions Cloud,","Qualifications 
- Diplômé(e) d'une école d'ingénieurs ou d'un Master 2 en Informatique, vous disposez d'une expérience significative (2-3 ans) au sein de projets Data : architecture, traitement ou analyse de données.
- Vous maîtrisez au minimum un langage de programmation appliqué à l'analyse de données (Scala, R, Python).
- Vous avez de bonnes compétences dans de l'architecture des systèmes, bases de données, méthodologies d'analyse
- Vous êtes passionné(e) par la Business Intelligence, le Big Data, l'Internet des objets (IoT) et le Machine Learning
- Une connaissance des outils Data des Cloud Providers publiques (Google Cloud Platform, Microsoft Azure, AWS) est un plus.
- Vous avez une solide compréhension de la dimension technique et fonctionnelle des projets IT (Agile).
- Curieux(se), autonome et à l'écoute, tu possèdes un réel esprit d'analyse
- Votre maîtrise de l'anglais vous permettra de gérer des projets en contexte international

Additional Information 

Comment se déroule le processus de recrutement chez Devoteam ? Il comporte 2 à 3 entretiens :
- Talent Acquisition Interview : l'objectif est de faire le point sur vos compétences, votre niveau d'anglais et de valider vos éléments de motivation 
- Tech & Business Interview : cet entretien vise à approfondir vos compétences techniques et à vérifier leur adéquation avec nos besoins lors d'un échange avec un expert métier 
- Leadership Interview : il permet d'évaluer votre potentiel, vos ambitions et d'envisager votre évolution au sein de Devoteam. 
Nous privilégions au moins un entretien en présentiel. Une prise de référence est demandée et, selon votre profil, des tests (techniques, anglais, personnalité...) peuvent vous être adressés. 
Si votre candidature est retenue, nous vous faisons parvenir une proposition présentant les conditions d'embauche. En cas d'acceptation, le contrat de travail est formalisé.

Le Groupe Devoteam oeuvre pour l'égalité des chances, pour la promotion de ses collaboratrices et de ses collaborateurs au mérite et lutte activement contre toute forme de discrimination. Nous sommes convaincus que la diversité contribue à la créativité, au dynamisme et à l'excellence de notre organisation. Chaque candidature est donc considérée indépendamment de tout critère discriminatoire.",Devoteam France,https://f.hellowork.com/img/entreprises/92453.png,Marseille 2e - 13,/fr-fr/emplois/59993583.html
23,23,59993615,2025-01-30 00:00:00,informatique,Data Engineer H/F,CDI,True,NC,NC,"Travailler chez Devoteam, c'est :
- Être aux côtés de partenaires comme Google, Microsoft, AWS, Salesforce ou ServiceNow dont nous implémentons les solutions chez nos clients ;
- Évoluer dans un groupe international qui vous accompagne dans le développement de votre carrière avec des parcours de formation et de certification adaptés ;
- Rejoindre une équipe spécialisée avec un manager de proximité qui saura vous guider dans vos choix et favoriser les échanges avec vos pairs, que ce soit lors d'événements techniques ou conviviaux ;
- Grandir dans une entreprise qui challenge ses équipes en étant agile et ambitieuse, s'adaptant pour permettre les succès individuels et collectifs.
- Animer des ateliers afin d'analyser et cadrer les besoins de nos clients grands comptes sur la mise en place de projets data Cloud,
- Préconiser les solutions de données cibles, et rédiger les dossiers d'architecture et spécifications techniques,
- Définir les méthodologies de déploiement et assurer la migration des données vers les nouveaux environnements,
- Concevoir et mettre en place des systèmes de données résilients et sécurisés (data warehouse, data lake, systèmes temps-réels),
- Construire et déployer les pipelines de données (ETL),
- Analyser les données sources afin d'identifier et évaluer des cas d'usage métiers,
- Mettre en oeuvre des outils de Business Intelligence et visualisation (Looker, Tableau, QlikView, DataStudio, etc.),
- Sélectionner, entraîner, évaluer et déployer des modèles prédictifs en s'appuyant sur les outils standards du domaine (TensorFlow, Keras, Scikit Learn),
- Assurer une veille technologique continue sur les différentes solutions Cloud,","Qualifications 
- Diplômé(e) d'une école d'ingénieurs ou d'un Master 2 en Informatique, vous disposez d'une expérience significative (2-3 ans) au sein de projets Data : architecture, traitement ou analyse de données.
- Vous maîtrisez au minimum un langage de programmation appliqué à l'analyse de données (Scala, R, Python).
- Vous avez de bonnes compétences dans de l'architecture des systèmes, bases de données, méthodologies d'analyse
- Vous êtes passionné(e) par la Business Intelligence, le Big Data, l'Internet des objets (IoT) et le Machine Learning
- Une connaissance des outils Data des Cloud Providers publiques (Google Cloud Platform, Microsoft Azure, AWS) est un plus.
- Vous avez une solide compréhension de la dimension technique et fonctionnelle des projets IT (Agile).
- Curieux(se), autonome et à l'écoute, tu possèdes un réel esprit d'analyse
- Votre maîtrise de l'anglais vous permettra de gérer des projets en contexte international

Informations supplémentaires 

Comment se déroule le processus de recrutement chez Devoteam ? Il comporte 2 à 3 entretiens :
- Talent Acquisition Interview : l'objectif est de faire le point sur vos compétences, votre niveau d'anglais et de valider vos éléments de motivation 
- Tech & Business Interview : cet entretien vise à approfondir vos compétences techniques et à vérifier leur adéquation avec nos besoins lors d'un échange avec un expert métier 
- Leadership Interview : il permet d'évaluer votre potentiel, vos ambitions et d'envisager votre évolution au sein de Devoteam. 
Nous privilégions au moins un entretien en présentiel. Une prise de référence est demandée et, selon votre profil, des tests (techniques, anglais, personnalité...) peuvent vous être adressés. 
Si votre candidature est retenue, nous vous faisons parvenir une proposition présentant les conditions d'embauche. En cas d'acceptation, le contrat de travail est formalisé.

Le Groupe Devoteam oeuvre pour l'égalité des chances, pour la promotion de ses collaboratrices et de ses collaborateurs au mérite et lutte activement contre toute forme de discrimination. Nous sommes convaincus que la diversité contribue à la créativité, au dynamisme et à l'excellence de notre organisation. Chaque candidature est donc considérée indépendamment de tout critère discriminatoire.",Devoteam France,https://f.hellowork.com/img/entreprises/92453.png,Montpellier - 34,/fr-fr/emplois/59993615.html
24,24,58898748,2025-01-30 00:00:00,informatique,Data Engineer H/F,CDI,True,NC,NC,"Mission

Dans le cadre de sa forte croissance Inetum (anciennement Gfi) recrute un Data Engineer (H/F) pour sa practice Smart Data Analytics.

L'offre SDA propose à ses clients un accompagnement de bout en bout (cadrage, dimensionnement socle technique jusqu'à la réalisation) des projets BI & Big Data avec une approche Data Driven.

Directement rattaché au directeur de la Business Unit vous serez amené à :

· Accompagner nos clients dans la réalisation de projets dans un contexte Big Data et Cloud,

Cela consiste à :
- Participer à des POCs (Proof Of Concept) permettant de valider les principes techniques et algorithmiques pour des projets,
- Développer des applications d'injection et de traitements massifs sur des volumétries importantes dans les langages Python ou Java et Scala,
- Participer à l'industrialisation d'applications partiellement réalisées (optimisation du code, optimisation des performances, utilisation maximisée des possibilités des outils et du cluster disponible),

·  Travailler dans un contexte Agile,

Profil

Vous êtes un ingénieur ayant évolué dans le monde du développement (langages java, scala, python) avec une culture DEVOPS, une maîtrise des BDD, du Shell/Unix...

Vous avez 2 à 3 ans d'expérience confirmée développement, une expérience a minima sur une distribution Hadoop (Cloudera, Horthonworks ou MAP-R). Vous êtes à l'aise avec les principes du cloud, une première expérience avec l'un des cloud provider suivant : AWS, Azure, GCP serait un plus...

Vous avez un esprit curieux, orienté sur la mise en place d'algorithmes de manipulation de données volumineuses, sur la manière de les rendre plus performantes (parallélisation, distribution de charge) et dans des conditions de hautes disponibilités.

Vous appréciez le travail en équipe, vous aimez les challenges et les enjeux techniques vous passionnent.

Votre curiosité intellectuelle et technologique, liée à vos excellentes qualités de communication, vous amène naturellement à partager vos connaissances avec vos clients, vos collaborateurs

Pourquoi nous rejoindre ?

· Vous rejoindrez un pôle d'experts Big Data, dans un esprit « start-up » au sein d'un grand groupe international, disposant de matériels spécifiques et dédiés à la réalisation de projets innovants,

·  Vous évoluerez, avec une forte autonomie, dans un environnement bienveillant où vous pourrez échanger, partager et grandir à travers des missions variées (nature des projets, secteur d'activité de nos clients, en IDF ou en régions...)... chez Inetum la connaissance est partagée (apprendre à donner et recevoir du feedback)

· Vous bénéficierez d'un parcours de formation individualisé

Organisation

Inetum est une ESN agile, une société de services et de solutions digitales, et un groupe international qui aide les entreprises et institutions à tirer le meilleur du digital flow. Dans un contexte de mouvement permanent, où les besoins et les usages se réinventent sans cesse, le groupe Inetum s'engage auprès de tous les acteurs pour innover, s'adapter continuellement et garder une longueur d'avance. Avec son profil de multi-spécialiste, Inetum met au service de ses clients une combinaison unique de proximité, d'organisation sectorielle et de solutions de qualité industrielle. Présent dans plus de 26 pays, le Groupe compte près de 27 000 collaborateurs et a réalisé en 2020 un chiffre d'affaires de 1,966 milliard d'Euros.

Tous nos postes sont ouverts aux personnes en situation de handicap.",,Talents Handicap,https://f.hellowork.com/img/entreprises/106568.png,Seine-Saint-Denis - 93,/fr-fr/emplois/58898748.html
25,25,61132308,2025-01-27 00:00:00,informatique,Data Engineer H/F,CDI,True,Télétravail partiel,50 000 - 62 000 € / an,"Dans le cadre du développement de notre activité Data, nous recherchons plusieurs Data Engineer.

Le Data Engineer participe à la conception, la construction, le déploiement et le maintien en production d'architectures Big Data, ces dernières ayant pour objectif de permettre tant l'évolution que l'optimisation du système d'information décisionnel existant en permettant de nouveaux usages Analytics et IA.

Vous intégrerez une équipe projet Big Data dont l'objectif premier est de conduire des projets ayant traits à des problématiques d'architecture et de conception dans un contexte Big Data & Cloud.

Responsabilités :
- Analyser, comprendre et cadrer les besoins métiers pour concevoir des architectures data robustes.
- Développer et mettre en oeuvre des pipelines d'ingestion de données à grande échelle.
- Assurer le maintien en conditions opérationnelles des plateformes et des environnements data complexes (Hadoop, Cloudera, Cloud).
- Travailler sur des solutions clusterisées (Hadoop, Spark) et des bases SQL/NoSQL (HDFS, Hive, HBase).
- Développer des applications data avec Spark/pySpark, Scala, Python pour alimenter les flux de données et les applications analytiques.
- Collaborer avec les équipes IT et métier pour traduire les besoins en solutions techniques performantes.
- Promouvoir et formaliser les best practices dans la gestion des plateformes data.
- Intégrer et optimiser des solutions sur Google Cloud Platform (GCP), en exploitant les outils spécifiques comme BigQuery, Dataflow ou Dataproc.","Pourquoi pas vous ?

Profil recherché :
- Bac +5 minimum en informatique, ingénierie, mathématiques ou domaines connexes.
- Maîtrise des technologies Spark, Scala, Python, Java et une solide expérience avec les environnements Hadoop et Cloud.
- Compétence indispensable en Google Cloud Platform (GCP) et une expérience significative avec ses services data (BigQuery, Dataflow, Dataproc, etc.).
- Expérience dans le développement de pipelines d'ingestion et de préparation des données.
- Capacité à travailler en équipe, à communiquer efficacement avec les équipes métier et IT.
- Esprit d'analyse, proactivité et veille technologique permanente.",SIBYLONE,https://f.hellowork.com/img/entreprises/160918.png,Paris - 75,/fr-fr/emplois/61132308.html
